,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,tconst
6025,s6026,Movie,terminator 3: rise of the machines,Jonathan Mostow,"['arnold schwarzenegger', 'nick stahl', 'claire danes']","['united states', 'germany', 'united kingdom']","January 1, 2020",2003,3,109 min,"Action & Adventure, Sci-Fi & Fantasy","Ten years after John Connor saved Earth from Judgment Day, he encounters T-X, a robotic assassin ordered to finish what T-1000 started.",6931
6060,s6061,Movie,the accidental spy,Roger Russell,"['ramsey nouah', 'christine allado', 'ayo makun']",['nigeria'],"November 29, 2019",2017,3,104 min,"Action & Adventure, Comedies, International Movies","Nursing a broken heart, an IT specialist moves to London to audition for a reality TV show that unexpectedly turns into a real-life cartel drama.",17653
6080,s6081,Movie,the american president,Rob Reiner,"['michael douglas', 'annette bening', 'martin sheen']",['united states'],"January 1, 2021",1995,3,113 min,"Comedies, Dramas, Romantic Movies",The widowed president strikes up a romance with a beautiful Washington lobbyist – but can the couple keep their private and political lives separate?,1615
6081,s6082,Movie,the amityville horror,Andrew Douglas,"['ryan reynolds', 'melissa george', 'chloë grace moretz']",['united states'],"January 1, 2020",2005,3,89 min,Horror Movies,"This hair-raising remake of the 1979 horror hit depicts the ordeal of the Lutz family, whose new home has a gory past and a legacy of demons.",1939
6082,s6083,TV Show,the andy griffith show,,"['andy griffith', 'ron howard', 'don knotts']",['united states']," July 1, 2017",1967,2,8 Seasons,"Classic & Cult TV, TV Comedies","Homespun humor and easygoing Sheriff Andy Taylor are at the center of this nostalgic look at Mayberry, a small town filled with lovable characters.",6707
6087,s6088,TV Show,the apartment,,"['jamie durie', 'laurence llewelyn-bowen']",['other']," December 14, 2018",2014,3,2 Seasons,"International TV Shows, Reality TV","With their eyes on the grand prize, amateur designers push their creative limits in this reality competition show hosted by design icon Jamie Durie.",8677
6088,s6089,Movie,the apostate,Federico Veiroj,"['álvaro ogalla', 'marta larralde', 'bárbara lennie']","['spain', 'france', 'other']","May 10, 2017",2015,3,80 min,"Comedies, Dramas, International Movies",A young man determined to renounce Catholicism by having his baptismal records excised is thwarted by church bureaucracy and his own inner conflicts.,5461
6094,s6095,Movie,the art of war,Christian Duguay,"['wesley snipes', 'anne archer', 'maury chaykin']","['united states', 'canada']","July 1, 2020",2000,3,117 min,Action & Adventure,"Framed for the murder of an ambassador, a former member of the United Nations' elite covert action unit will do whatever it takes to clear his name.",5708
6097,s6098,Movie,the assignment,Walter Hill,"['michelle rodriguez', 'sigourney weaver', 'tony shalhoub']","['france', 'canada', 'united states']","March 15, 2020",2016,3,95 min,Action & Adventure,A hitman has his body surgically altered into a woman's against his will. Now he has to track down the surgeon responsible and get his revenge.,5531
6102,s6103,Movie,the babysitter,McG,"['samara weaving', 'hana mae lee', 'judah lewis']",['united states'],"October 13, 2017",2017,3,85 min,"Comedies, Horror Movies","When Cole stays up past his bedtime, he discovers that his hot babysitter is part of a satanic cult that will stop at nothing to keep him quiet.",10217
6104,s6105,TV Show,the bachelor,,[],[],"December 1, 2019",2009,3,1 Season,"Reality TV, Romantic TV Shows",A single man searches for his soulmate through a series of dates with 25 contestants ready to romance him for a chance at love.,6302
6117,s6118,Movie,the battle of midway,John Ford,"['henry fonda', 'jane darwell']",['united states'],"March 31, 2017",1942,3,18 min,"Classic Movies, Documentaries","Director John Ford captures combat footage of the Battle of Midway, an air and sea campaign that was a turning point in the war in the Pacific.",12794
6119,s6120,Movie,the beast,Ludovico Di Martino,"['fabrizio gifuni', 'lino musella', 'monica piseddu']",['italy'],"November 27, 2020",2020,3,100 min,"Action & Adventure, International Movies","To rescue his daughter, an unstable Special Forces veteran unleashes his inner beast as he pursues her kidnappers — and soon becomes a suspect himself.",3708
6150,s6151,Movie,the body,Jeethu Joseph,"['rishi kapoor', 'emraan hashmi', 'sobhita dhulipala']",['india'],"February 21, 2020",2019,3,101 min,"International Movies, Thrillers",Mind games and mystery abound as a detective investigates the disappearance of a woman’s body from a morgue in this Hindi remake of a Spanish thriller.,898
6180,s6181,Movie,the bridge,Kunle Afolayan,"['chidinma ekile', 'ademola adedoyin', 'kunle afolayan']",['nigeria'],"September 1, 2019",2017,3,119 min,"Dramas, International Movies, Romantic Movies",A Yoruba prince and a young lady from a prominent Igbo family face tribal prejudice and parental pressure when they secretly wed.,10391
6196,s6197,TV Show,the calling,Bumpy,[],['india'],"April 1, 2019",2018,3,1 Season,"International TV Shows, Reality TV","Food-crazed travel junkies journey across India, completing bucket list challenges for a chance to win a once-in-a-lifetime scholarship.",2600
6204,s6205,Movie,the cell,Tarek Al Eryan,"['ahmed ezz', 'mohamed mamdouh', 'samer al masri']",['egypt'],"June 13, 2019",2017,3,126 min,"Action & Adventure, Dramas, International Movies",A special operations officer vows to get revenge against the terrorist who killed his friend in a brutal attack.,17589
6210,s6211,TV Show,the chase,,"['brooke burns', 'mark labbett']",['united states'],"June 15, 2020",2015,3,2 Seasons,Reality TV,"Brooke Burns hosts this game show in which three contestants square off to answer fast-paced questions against ""the Beast,"" a trivia know-it-all.",16808
6214,s6215,Movie,the chosen,Antonio Chavarrías,"['alfonso herrera', 'hannah murray', 'henry goodman']","['spain', 'mexico']","April 14, 2017",2016,3,111 min,"Dramas, International Movies, Thrillers","In 1937, Spanish revolutionary Ramón trains as a Soviet spy, impersonating a wealthy Belgian as part of a plot to assassinate Leon Trotsky in Mexico.",13744
6221,s6222,Movie,the cincinnati kid,Norman Jewison,"['steve mcqueen', 'edward g. robinson', 'ann-margret']",['united states'],"November 1, 2019",1965,3,103 min,"Classic Movies, Dramas","In Depression-era New Orleans, cocksure stud poker player Eric Stoner – the titular Cincinnati Kid – challenges longtime champ Lancey ""The Man"" Howard to a showdown at the table, where a war of wills – and nerve – ensues.",947
6222,s6223,TV Show,the circle,,['michelle buteau'],"['united states', 'united kingdom']","January 1, 2020",2020,3,1 Season,Reality TV,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",14830
6230,s6231,TV Show,the code,,['marcus du sautoy'],['united kingdom'],"February 1, 2018",2011,3,1 Season,"British TV Shows, Docuseries, International TV Shows","In this three-part documentary series, host Marcus du Sautoy examines the mathematical code underlying all of life on Earth and the universe itself.",7339
6245,s6246,Movie,the craft,Andrew Fleming,"['robin tunney', 'fairuza balk', 'neve campbell']",['united states'],"January 1, 2020",1996,3,101 min,"Horror Movies, Thrillers","At a Catholic school, a new girl falls in with a clique of teen witches who wield their powers against anyone who crosses them, even their parents.",6708
6249,s6250,Movie,the crew,Julien Leclercq,"['sami bouajila', 'guillaume gouix', 'youssef hajdi']",['france'],"November 15, 2018",2015,3,81 min,"Action & Adventure, International Movies","After an unexpected misstep, a crew of skilled Parisian robbers find themselves forced to carry out a daring heist for a powerful crime organization.",14226
6253,s6254,Movie,the crow,Alex Proyas,"['brandon lee', 'rochelle davis', 'ernie hudson']",['united states'],"January 1, 2019",1994,3,102 min,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy","One year after Eric Draven and his fiancée are murdered, Draven – watched over by a hypnotic crow – returns from the grave to exact revenge.",13959
6266,s6267,Movie,the dark crystal,"Frank Oz, Jim Henson","['jim henson', 'kathryn mullen', 'frank oz']","['united states', 'united kingdom']","May 1, 2019",1982,3,93 min,Children & Family Movies,"In this mythical tale, Jen, the last of the Gelfling race, is charged with healing the Crystal of Truth after its mutilation sets off an era of terror.",12560
6284,s6285,TV Show,the deep,,"['vincent tong', 'ashleigh ball', 'kathleen barr']","['canada', 'australia']","November 1, 2019",2019,1,3 Seasons,Kids' TV,"The Nektons are a family of underwater explorers who discover the hidden secrets of the oceans, including sunken cities, sea creatures and pirates.",13261
6318,s6319,Movie,the duel,Kieran Darcy-Smith,"['woody harrelson', 'liam hemsworth', 'alice braga']",['united states'],"June 2, 2019",2016,3,110 min,Dramas,"In 1866, a Texas Ranger investigates some suspicious deaths in a town ruled by a religious despot whose past contains a disturbing link to his own.",2374
6328,s6329,Movie,the end,Mohammed Alhmly,"['mohamed el hemaly', 'abdulla al-khudr', 'ghadeer zayid']",['other'],"May 17, 2020",2019,3,97 min,"Action & Adventure, Comedies, International Movies","A wrongly accused man is pursued by a dogged investigator in this action-comedy featuring car chases, dark humor and more than a few vampires.",5509
6337,s6338,Movie,the evil dead,Sam Raimi,"['bruce campbell', 'ellen sandweiss', 'richard demanincor']",['united states'],"January 10, 2020",1981,3,85 min,"Classic Movies, Cult Movies, Horror Movies","During a stop at a remote cabin deep within the woods, a group of teens begins turning into flesh-eating zombies in director Sam Raimi's cult classic.",8627
6344,s6345,TV Show,the fear,Michael Samuels,"['peter mullan', 'anastasia hille', 'harry lloyd']",['united kingdom'],"March 31, 2017",2012,3,1 Season,"British TV Shows, Crime TV Shows, TV Dramas","Richie Beckett is an aging Brighton crime boss who's struggling with the onset of dementia, just as a rival gang is trying to take over his territory.",11609
6355,s6356,Movie,the first wives club,Hugh WIlson,"['bette midler', 'goldie hawn', 'diane keaton']",['united states'],"November 20, 2019",1996,3,103 min,Comedies,"Following a friend's suicide after her husband dumps her for a younger model, three women plot payback against their two-timing exes.",13748
6360,s6361,Movie,the flintstones,Brian Levant,"['john goodman', 'elizabeth perkins', 'rick moranis']",['united states'],"October 1, 2019",1994,3,91 min,"Children & Family Movies, Comedies",The Flintstones hit the big screen in this live-action comedy that finds Fred and Barney struggling to cope with the pressures of work and family.,4127
6361,s6362,Movie,the flintstones in viva rock vegas,Brian Levant,"['mark addy', 'stephen baldwin', 'kristen johnston']",['united states'],"October 1, 2019",2000,3,91 min,"Children & Family Movies, Comedies, Romantic Movies","Yabba-dabba-doo! Digital dinosaurs rule the day when Fred, Barney, Betty and Wilma take Vegas by storm in this prequel that posits their lives before marriage.",362
6366,s6367,Movie,the foreigner,Martin Campbell,"['pierce brosnan', 'katie leung', 'manolo cardona']","['united kingdom', 'china', 'united states']","February 14, 2020",2017,3,113 min,"Action & Adventure, International Movies","After his daughter is killed by terrorists, a sullen restaurateur seeks the identities of those responsible and travels to Ireland to take vengeance.",12663
6370,s6371,Movie,the forgotten,Oliver Frampton,"['clem tibber', 'elarica johnson', 'james doherty']",['united kingdom'],"September 11, 2017",2014,3,89 min,Horror Movies,"After a teenager goes to live with his father in abandoned public housing, he hears strange noises and decides to investigate with his new friend.",4590
6382,s6383,TV Show,the game,,"['tia mowry-hardrict', 'pooch hall', 'coby bell']",['united states'],"August 15, 2020",2008,3,3 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas",Medical school student Melanie adjusts to life in the world of professional sports when her boyfriend Derwin becomes a pro football player.,143
6393,s6394,TV Show,the gift,,"['beren saat', 'mehmet günsür', 'metin akdülger']",['turkey'],"September 10, 2020",2020,3,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",A painter in Istanbul embarks on a personal journey as she unearths universal secrets about an Anatolian archaeological site and its link to her past.,16236
6408,s6409,Movie,the gospel of john,David Batty,"['selva rasalingam', 'mourad zaoui', ""el mahmoudi m'barek""]","['united kingdom', 'united states', 'other']","October 20, 2018",2014,3,161 min,"Dramas, Faith & Spirituality","In the first of four word-for-word film adaptations, Aramaic-speaking actors re-create the stories of Jesus' life from the fourth gospel.",10298
6424,s6425,TV Show,the great train robbery,,"['luke evans', 'jim broadbent', 'paul anderson']",['united kingdom'],"March 31, 2017",2013,2,1 Season,"British TV Shows, Crime TV Shows, International TV Shows","This two-part tale delivers the true story of the Great Train Robbery of 1963, the biggest one in England's history.",12714
6433,s6434,Movie,the hard way,Keoni Waxman,"['michael jai white', 'luke goss', 'randy couture']",['united states'],"March 5, 2019",2019,3,94 min,Action & Adventure,"After learning his brother died on a mission in Romania, a former soldier teams up with two allies to hunt down a mysterious enemy and exact revenge.",5903
6442,s6443,Movie,the healer,Paco Arango,"['oliver jackson-cohen', 'camilla luddington', 'jonathan pryce']","['spain', 'canada', 'united states']","June 1, 2020",2017,3,108 min,"Children & Family Movies, Dramas, Faith & Spirituality","A handyman who has hit rock bottom agrees to live with his distant uncle, who insists that his ability to fix things extends beyond the repair shop.",12201
6445,s6446,Movie,the heartbreak kid,"Bobby Farrelly, Peter Farrelly","['ben stiller', 'michelle monaghan', 'jerry stiller']",['united states'],"May 1, 2020",2007,3,116 min,"Comedies, Romantic Movies","Ben Stiller stars as a newlywed who marries a dreamy woman, only to learn on their honeymoon that she's a total nightmare.",15686
6456,s6457,TV Show,the hollow,,"['adrian petriw', 'ashleigh ball', 'connor parnall']",['canada'],"May 8, 2020",2020,1,2 Seasons,"Kids' TV, TV Thrillers","Three teens join forces to find a way home after waking up in a strange realm filled with magic portals, perplexing puzzles and vicious beasts.",3092
6463,s6464,Movie,the house next door,Milind Rau,"['siddharth', 'andrea jeremiah', 'anisha victor']",['india'],"January 9, 2018",2017,3,135 min,"Horror Movies, International Movies, Thrillers","In this Hindi version of ""Aval,"" a young couple's relationship is shaken to its core when a mysterious and troubled family moves into the neighborhood.",1430
6481,s6482,TV Show,the in-laws,,"['louise lee', 'rui en', 'pierre png']",['other'],"August 1, 2017",2011,3,1 Season,"International TV Shows, TV Dramas","She swore not to meddle in her kids' lives like her mother-in-law meddled in hers. But when her sons get married, that vow proves not so easy to keep.",569
6489,s6490,Movie,the indian in the cupboard,Frank Oz,"['hal scardino', 'litefoot', 'lindsay crouse']",['united states'],"November 1, 2020",1995,3,96 min,"Children & Family Movies, Dramas","A boy receives a wooden cupboard, antique keys and an Iroquois warrior figurine for his birthday. The figurine comes to life overnight in the cabinet.",15444
6495,s6496,TV Show,the innocents,,"['sorcha groundsell', 'percelle ascott', 'guy pearce']",['united kingdom'],"August 24, 2018",2018,3,1 Season,"British TV Shows, International TV Shows, Romantic TV Shows",Runaway teen lovers June and Harry find themselves swept up in a dangerous and confusing new world when June begins to display mysterious abilities.,16785
6520,s6521,TV Show,the jungle book,,"['emma tate', 'jimmy hibbert', 'sam gold']","['india', 'germany', 'france']","May 11, 2019",2010,1,1 Season,Kids' TV,"This animated series follows young Mowgli and his animal mentors Bagheera and Baloo, who do their best to protect him from fierce tiger Shere Khan.",17158
6523,s6524,Movie,the karate kid,Harald Zwart,"['jaden smith', 'jackie chan', 'taraji p. henson']","['united states', 'china']","October 17, 2019",2010,3,140 min,"Children & Family Movies, Dramas","After moving to Beijing with his mother, Dre falls prey to a bully, so he takes lessons from a martial arts master in this remake of the 1984 classic.",16008
6526,s6527,Movie,the killer,Marcelo Galvão,"['diogo morgado', 'etienne chicot', 'maria de medeiros']",['brazil'],"November 10, 2017",2017,3,100 min,"Action & Adventure, International Movies","In lawless badlands, reclusive Cabeleira sets out to discover the fate of his gunman father and grows to be a feared assassin himself.",5384
6552,s6553,Movie,the last boy scout,Tony Scott,"['bruce willis', 'damon wayans', 'chelsea field']",['united states'],"November 1, 2019",1991,3,105 min,"Action & Adventure, Comedies",Private eye Joe Hallenbeck is forced to team up with a disgraced quarterback to uncover a conspiracy by a politician and a football team owner.,15956
6563,s6564,Movie,the last laugh,Greg Pritikin,"['chevy chase', 'richard dreyfuss', 'andie macdowell']",['united states'],"January 11, 2019",2019,3,99 min,"Comedies, Dramas","After moving to a retirement home, restless talent manager Al reconnects with long-ago client Buddy and coaxes him back out on the comedy circuit.",3554
6581,s6582,Movie,the legend of bhagat singh,Rajkumar Santoshi,"['ajay devgn', 'sushant singh', 'd. santosh']",['india'],"October 12, 2020",2002,3,156 min,"Dramas, International Movies","This biopic chronicles the life and times of iconic Indian revolutionary Bhagat Singh, who led an armed resistance against the British in the 1920.",17611
6600,s6601,Movie,the little mermaid,"Blake Harris, Chris Bouchard","['william moseley', 'poppy drayton', 'loreto peralta']",['united states'],"December 1, 2018",2018,3,85 min,"Children & Family Movies, Dramas","In this take on the classic tale, a captive circus mermaid transforms the lives of a skeptical journalist and his wide-eyed young sister.",17714
6602,s6603,Movie,the little prince,Mark Osborne,"['jeff bridges', 'mackenzie foy', 'rachel mcadams']","['france', 'canada', 'italy']","November 6, 2020",2015,3,107 min,Children & Family Movies,"When an overscheduled girl befriends an eccentric aviator, he regales her with tales about the adventures of an unusual boy who lives on an asteroid.",10922
6604,s6605,Movie,the little vampire,"Richard Claus, Karsten Kiilerich","['matthew marsh', 'rasmus hardiker', 'miriam margolyes']","['other', 'germany', 'other']","April 1, 2020",2017,2,83 min,Children & Family Movies,An American kid obsessed with the undead befriends and offers to help a young vampire whose family is being targeted by a merciless vampire hunter.,16970
6613,s6614,Movie,the longest yard,Robert Aldrich,"['burt reynolds', 'eddie albert', 'ed lauter']",['united states'],"November 20, 2019",1974,3,121 min,"Classic Movies, Comedies, Sports Movies",Washed-up professional quarterback Paul Crewe is sent to jail and forced to put together an inmate gridiron team to take on a group of prison guards.,2755
6635,s6636,Movie,the main event,Jay Karas,"['seth carr', 'tichina arnold', 'adam pally']",['united states'],"April 10, 2020",2020,2,103 min,"Children & Family Movies, Comedies, Sports Movies","Using special powers from a magical mask, a young WWE fan causes chaos when he enters a wrestling competition and fights an intimidating rival.",4283
6644,s6645,Movie,the mask of zorro,Martin Campbell,"['antonio banderas', 'anthony hopkins', 'catherine zeta-jones']","['united states', 'germany', 'mexico']","January 1, 2020",1998,3,138 min,"Action & Adventure, Romantic Movies","An aging Zorro passes the torch to a young successor, schooling him in discipline and training him to take up the sword against crooked officials.",15818
6646,s6647,Movie,the master,Paul Thomas Anderson,"['joaquin phoenix', 'philip seymour hoffman', 'amy adams']",['united states'],"January 14, 2020",2012,3,137 min,"Dramas, Independent Movies","A heavy-drinking loner finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion.""",4288
6648,s6649,Movie,the matrix,"Lilly Wachowski, Lana Wachowski","['keanu reeves', 'laurence fishburne', 'carrie-anne moss']",['united states'],"November 1, 2019",1999,3,136 min,"Action & Adventure, Sci-Fi & Fantasy","A computer hacker learns that what most people perceive as reality is actually a simulation created by machines, and joins a rebellion to break free.",14691
6682,s6683,Movie,the monster,Bryan Bertino,"['zoe kazan', 'ella ballentine', 'aaron douglas']","['united states', 'canada']","January 9, 2019",2016,3,91 min,"Horror Movies, Independent Movies",A troubled mother-daughter relationship faces the ultimate test when the duo’s broken-down car leaves them trapped within reach of a vicious creature.,8054
6698,s6699,Movie,the natural,Barry Levinson,"['robert redford', 'robert duvall', 'glenn close']",['united states'],"January 1, 2020",1984,3,138 min,"Classic Movies, Dramas, Sports Movies",A gifted baseball player whose life has taken some startling turns becomes a 35-year-old rookie who helps a cellar-dwelling team get back in the game.,9378
6725,s6726,TV Show,the order,,"['jake manley', 'sarah grey', 'max martini']",['united states'],"June 18, 2020",2020,3,2 Seasons,"International TV Shows, TV Dramas, TV Horror","Out to avenge his mother's death, a college student pledges a secret order and lands in a war between werewolves and practitioners of dark magic.",8250
6726,s6727,Movie,the original kings of comedy,Spike Lee,"['steve harvey', 'd.l. hughley', 'cedric the entertainer']",['united states'],"January 1, 2020",2000,3,111 min,Stand-Up Comedy,"Director Spike Lee documents the last night of the hit comedy tour featuring comics Steve Harvey, Cedric the Entertainer, D.L. Hughley and Bernie Mac.",8428
6735,s6736,Movie,the outsider,Timothy Woodward Jr.,"['jon foo', 'trace adkins', 'sean patrick flanery']",['united states'],"September 15, 2019",2019,3,86 min,Movies,A frontier sheriff tries to protect his sadistic son from a Chinese railroad worker hellbent on revenge.,14596
6736,s6737,TV Show,the outsiders,,"['dylan kuo', 'ady an', 'lan cheng-lung']",['taiwan'],"April 30, 2019",2004,3,1 Season,"Crime TV Shows, International TV Shows, Romantic TV Shows",A trio of delinquent brothers fends off neighborhood rivals until one joins a gang to gain protection for the upper-class girl he loves.,12221
6737,s6738,Movie,the package,Jake Szymanski,"['daniel doheny', 'geraldine viswanathan', 'luke spencer roberts']",['united states'],"August 10, 2018",2018,3,95 min,Comedies,"After their buddy suffers an unfortunate accident during spring break, four pals risk everything – including their dignity – to make him whole again.",14158
6739,s6740,TV Show,the paper,,"['branka katić', 'trpimir jurkic', 'aleksandar cvetković']",['other'],"January 1, 2019",2018,3,2 Seasons,"International TV Shows, TV Dramas",A construction magnate takes over a struggling newspaper and attempts to wield editorial influence for power and personal gain.,11724
6744,s6745,Movie,the peacemaker,Mimi Leder,"['george clooney', 'nicole kidman', 'marcel iures']",['united states'],"January 1, 2020",1997,3,124 min,Action & Adventure,"After terrorists trigger a nuclear blast in Russia, a U.S. Special Forces intelligence agent and a nuclear weapons expert come to the rescue.",15730
6745,s6746,Movie,the pelican brief,Alan J. Pakula,"['julia roberts', 'denzel washington', 'sam shepard']",['united states'],"November 1, 2019",1993,3,141 min,"Dramas, Thrillers","When law student Darby Shaw theorizes about the assassinations of two Supreme Court justices, she is put in danger and turns to a reporter for help.",7155
6753,s6754,Movie,the phantom of the opera,Joel Schumacher,"['gerard butler', 'emmy rossum', 'patrick wilson']","['united kingdom', 'united states']","June 1, 2019",2004,3,141 min,"Dramas, Music & Musicals, Romantic Movies","In 1870, a disfigured recluse roams beneath a Parisian opera house and takes under his wing a young soprano, with whom a love triangle develops.",12311
6757,s6758,Movie,the pink panther,Shawn Levy,"['steve martin', 'kevin kline', 'beyoncé knowles-carter']","['united states', 'other']","July 1, 2019",2006,3,93 min,"Children & Family Movies, Comedies",Bumbling Inspector Clouseau must solve the murder of a world-famous soccer coach and catch the thief who stole his priceless diamond ring.,13512
6767,s6768,Movie,the player,Ahmad El-Badri,"['ramez galal', 'emy samir ghanim', 'edward fouad']",['egypt'],"June 20, 2019",2012,3,110 min,"Comedies, International Movies","To save his father’s company from bankruptcy, a rich, spoiled playboy is forced to wed a no-nonsense woman, who's just as unhappy to be marrying him.",13451
6788,s6789,TV Show,the protector,,"['çağatay ulusoy', 'ayça ayşin turan', 'hazar ergüçlü']",['turkey'],"July 9, 2020",2020,3,4 Seasons,"International TV Shows, Romantic TV Shows, TV Action & Adventure","Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.",7138
6800,s6801,Movie,the rainmaker,Francis Ford Coppola,"['matt damon', 'danny devito', 'claire danes']","['united states', 'germany']","November 20, 2019",1997,3,136 min,"Dramas, Thrillers",A young attorney and a scrappy paralegal work to help the parents of a terminally ill boy in their suit against an insurance company.,10529
6801,s6802,TV Show,the ranch,,"['ashton kutcher', 'sam elliott', 'debra winger']",['united states'],"January 24, 2020",2020,3,8 Seasons,"TV Comedies, TV Dramas","Being a pro athlete didn't pan out for Colt. Now he's helping his dad and brother keep the ranch afloat, and figuring out how he fits into the family.",9855
6822,s6823,Movie,the ring,Gore Verbinski,"['naomi watts', 'martin henderson', 'david dorfman']",['united states'],"January 1, 2020",2002,3,116 min,"Horror Movies, Thrillers",A reporter watches a video that supposedly sets in motion the viewer's death in seven days. Can she unravel the mystery before her own time is up?,17479
6828,s6829,Movie,the river wild,Curtis Hanson,"['meryl streep', 'kevin bacon', 'david strathairn']",['united states'],"September 1, 2018",1994,3,111 min,Action & Adventure,"A turbulent vacation turns deadly when a fugitive and his crew kidnap a river rafting guide and her family, forcing them down the dangerous river.",7395
6831,s6832,TV Show,the road to love,,"['katherine escobar farfan', 'juan manuel restrepo', 'césar mora']",['other'],"December 4, 2019",2019,3,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","After an argument with her dad, a young woman from a family of macho truck drivers is kicked out of the home and must make her own success as a trucker.",4015
6839,s6840,Movie,the rugrats movie,"Igor Kovalyov, Norton Virgien","['elizabeth daily', 'christine cavanaugh', 'kath soucie']",['united states'],"October 1, 2019",1998,2,81 min,"Children & Family Movies, Comedies","When his baby brother Dil is born, Tommy Pickles and his pals decide that he's too much responsibility and try to return him to the hospital.",9146
6842,s6843,Movie,the runner,Austin Stark,"['nicolas cage', 'sarah paulson', 'connie nielsen']",['united states'],"September 8, 2017",2015,3,90 min,"Dramas, Independent Movies",A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,11827
6846,s6847,Movie,the saint,Ernie Barbarash,"['adam rayner', 'eliza dushku', 'ian ogilvy']",['united states'],"August 10, 2017",2017,3,92 min,Action & Adventure,"Master thief Simon Templar – also known as the Saint – is hired by a wealthy banker to find his kidnapped daughter, but not all is as it seems.",2875
6851,s6852,Movie,the score,Frank Oz,"['robert de niro', 'edward norton', 'marlon brando']","['germany', 'canada', 'united states']","November 28, 2019",2001,3,124 min,"Dramas, Thrillers","Ready-to-retire safecracker Nick, flamboyant fence Max and talented but volatile thief Jackie team up to rob the Montreal Customs House.",10379
6865,s6866,Movie,the show,Giancarlo Esposito,"['josh duhamel', 'giancarlo esposito', 'famke janssen']",['united states'],"June 1, 2020",2017,3,105 min,Dramas,A disillusioned reality TV host and an idealistic producer are lured by their network into producing a show in which participants kill themselves.,9998
6870,s6871,Movie,the silence,John R. Leonetti,"['stanley tucci', 'kiernan shipka', 'miranda otto']","['canada', 'germany']","April 10, 2019",2019,3,91 min,"Horror Movies, Thrillers","With the world under attack by deadly creatures who hunt by sound, a teen and her family seek refuge outside the city and encounter a mysterious cult.",9666
6886,s6887,Movie,the son,Sebastián Schindel,"['joaquín furriel', 'martina gusmán', 'luciano cáceres']",['argentina'],"July 26, 2019",2019,3,93 min,"Dramas, Independent Movies, International Movies","In this psychological thriller, painter Lorenzo's life spirals out of control as he fears his wife is trying to isolate him from their infant son.",16040
6900,s6901,TV Show,the staircase,,[],['france'],"June 8, 2018",2018,3,1 Season,"Crime TV Shows, Docuseries, TV Mysteries","Accident or murder? After the mysterious death of his wife, author Michael Peterson watches his life go under the microscope.",14448
6913,s6914,Movie,the super,Stephan Rick,"['patrick john flueger', 'val kilmer', 'louisa krause']",['united states'],"February 16, 2019",2017,3,89 min,Horror Movies,"When an ex-cop becomes a superintendent of an apartment building, he suspects the sinister janitor is behind the eerie disappearances of its tenants.",11822
6920,s6921,Movie,the talented mr. ripley,Anthony Minghella,"['matt damon', 'gwyneth paltrow', 'jude law']",['united states'],"January 1, 2020",1999,3,139 min,"Dramas, Thrillers","A charming sociopath maneuvers into the lush life of a young heir. But as he embraces the posh lifestyle, he'll stop at nothing to hold onto it.",2009
6922,s6923,TV Show,the terminal,,"['mohammad mansour', 'bouthayna al raesi', 'bassima hamada']",[],"March 29, 2019",2018,3,1 Season,"International TV Shows, TV Dramas","Social pressure, a complicated past and a clash of values beset the life of a businessman and his family.",17355
6923,s6924,Movie,the texas chainsaw massacre,Tobe Hooper,"['gunnar hansen', 'jim siedow', 'marilyn burns']",['united states'],"October 22, 2019",1974,3,83 min,"Cult Movies, Horror Movies, Independent Movies","When some friends visit a vandalized graveyard, they come upon a chainsaw-wielding maniac, and it's a fight to the bloody death between good and evil.",9368
6930,s6931,Movie,the time machine,Simon Wells,"['guy pearce', 'samantha mumba', 'jeremy irons']","['united states', 'other']","November 23, 2019",2002,3,96 min,"Action & Adventure, Sci-Fi & Fantasy","Based on the H.G. Wells classic, this adventure follows a scientist and inventor who's determined to prove to doubters that time travel is possible.",5589
6939,s6940,TV Show,the trial,Stefano Lodovichi,"['vittoria puccini', 'francesco scianna', 'camilla filippi']",['italy'],"April 10, 2020",2019,3,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","The murder of a teen girl impacts a public prosecutor linked to the victim, a lawyer seeking a career-making case and a suspect who says she's innocent.",4770
6944,s6945,Movie,the trigger effect,David Koepp,"['kyle maclachlan', 'elisabeth shue', 'dermot mulroney']",['united states'],"January 1, 2018",1996,3,94 min,Thrillers,"When a power failure throws their suburban town into chaos, Matthew and his wife stoop to desperate measures to secure medication for their child.",16667
6951,s6952,Movie,the tuxedo,Kevin Donovan,"['jackie chan', 'jennifer love hewitt', 'jason isaacs']",['united states'],"November 1, 2019",2002,3,99 min,"Action & Adventure, Comedies","After a government spy is hospitalized, New York City cab driver Jimmy unwillingly takes over the spy's role – with the aid of a computerized tuxedo.",16930
